name,sku,price,payment_object,vat_type,tax_identity
Кондиционер Daikin (до -40С) FTYN35L/RYN35L/-40,FTYN3540,47660,commodity,vat20,2466276880
Кондиционер Daikin (до -40С) FTYN50L/RYN50L/-40,FTYN5040,65830,commodity,vat20,2466276880
Кондиционер Daikin (до -40С) FTYN60L/RYN60L/-40,FTYN6040,74550,commodity,vat20,2466276880
Кондиционер Ballu iGreen PRO ERP DC Inverter BSAGI-09HN1_17Y ,iGreen_Inv09,38000,commodity,vat20,2466276880
Кондиционер Ballu iGreen PRO ERP DC Inverter BSAGI-12HN1_17Y,iGreen_Inv12,40000,commodity,vat20,2466276880
Кондиционер Ballu iGreen PRO ERP DC Inverter BSAGI-18HN1_17Y ,iGreen_Inv18,59000,commodity,vat20,2466276880
Кондиционер Ballu iGreen PRO ERP DC Inverter BSAGI-24HN1_17Y ,iGreen_Inv24,72500,commodity,vat20,2466276880
Кондиционер Ballu Platinum Evolution ERP DC Inverter BSUI-09HN8 R32,Platinum_Evo_Inv09,35000,commodity,vat20,2466276880
Кондиционер Ballu Platinum Evolution ERP DC Inverter BSUI-12HN8 R32,Platinum_Evo_Inv12,38000,commodity,vat20,2466276880
Кондиционер Ballu Platinum Evolution ERP DC Inverter BSUI-18HN8 R32,Platinum_Evo_Inv18,58000,commodity,vat20,2466276880
Кондиционер Ballu Platinum Evolution ERP DC Inverter BSUI-24HN8 R32,Platinum_Evo_Inv24,70500,commodity,vat20,2466276880
Кондиционер Ballu Platinum ERP DC Inverter Black Edition BSPI-10HN1/BL/EU ,Platinum_Black_Inv10,35000,commodity,vat20,2466276880
Кондиционер Ballu Platinum ERP DC Inverter Black Edition BSPI-13HN1/BL/EU ,Platinum_Black_Inv13,38000,commodity,vat20,2466276880
Кондиционер Ballu Lagoon BSDI-07HN1 ,Lagoon_Inv07,25000,commodity,vat20,2466276880
Кондиционер Ballu Lagoon BSDI-09HN1 ,Lagoon_Inv09,27000,commodity,vat20,2466276880
Кондиционер Ballu Lagoon BSDI-12HN1 ,Lagoon_Inv12,30400,commodity,vat20,2466276880
Кондиционер Ballu Lagoon BSDI-18HN1 ,Lagoon_Inv18,54000,commodity,vat20,2466276880
Кондиционер Ballu Lagoon BSDI-24HN1 ,Lagoon_Inv24,66400,commodity,vat20,2466276880
Кондиционер Ballu iGreen PRO BSAG-07HN1_17Y,iGreen_07,18900,commodity,vat20,2466276880
Кондиционер Ballu iGreen PRO BSAG-09HN1_17Y,iGreen_09,20900,commodity,vat20,2466276880
Кондиционер Ballu iGreen PRO BSAG-12HN1_17Y,iGreen_12,27000,commodity,vat20,2466276880
Кондиционер Ballu iGreen PRO BSAG-18HN1_17Y,iGreen_18,42500,commodity,vat20,2466276880
Кондиционер Ballu iGreen PRO BSAG-24HN1_17Y,iGreen_24,54000,commodity,vat20,2466276880
Кондиционер Ballu Lagoon BSD-07HN1,Lagoon_07,16900,commodity,vat20,2466276880
Кондиционер Ballu Lagoon BSD-09HN1,Lagoon_09,18500,commodity,vat20,2466276880
Кондиционер Ballu Lagoon BSD-12HN1,Lagoon_12,23900,commodity,vat20,2466276880
Кондиционер Ballu Lagoon BSD-18HN1,Lagoon_18,39000,commodity,vat20,2466276880
Кондиционер Ballu Lagoon BSD-24HN1,Lagoon_24,48900,commodity,vat20,2466276880
Кондиционер Ballu VISION PRO  BSVP-07HN1 ,Vision_07,16400,commodity,vat20,2466276880
