item_id,name,sku,size,price
4055017326908,#CФутболка жен.,AC3269,4244,1990
4055017326878,#CФутболка жен.,AC3269,4648,1990
4055017326953,#CФутболка жен.,AC3269,4850,1990
4055017326915,#CФутболка жен.,AC3269,5254,1990
4055017324690,#CФутболка жен.,AC3270,38,1990
4055017324720,#CФутболка жен.,AC3270,40,1990
4055017324614,#CФутболка жен.,AC3270,4244,1990
4055017324607,#CФутболка жен.,AC3270,4648,1990
4055017324669,#CФутболка жен.,AC3270,4850,1990
4055017324713,#CФутболка жен.,AC3270,5254,1990
4056558156177,Футбольный мяч (подарочный) взр.,AC5419,5,1390
4056558156016,Мини-мяч взр.,AC5427,1,590
4056562818351,Мини-мяч взр.,AC5452,1,590
4055344005132,Футбольный мяч взр.,AC5488,5,1390
4055343855837,Предматчевая футболка муж.,AC5784,42,3390
4055343855844,Предматчевая футболка муж.,AC5784,46,3390
4055343855820,Предматчевая футболка муж.,AC5784,50,3390
4055343855875,Предматчевая футболка муж.,AC5784,54,3390
4055343526706,Предматчевая футболка муж.,AC5787,42,3390
4055343530802,Предматчевая футболка муж.,AC5787,46,3390
4055343526690,Предматчевая футболка муж.,AC5787,50,3390
4055343530819,Предматчевая футболка муж.,AC5787,54,3390
4055343526713,Предматчевая футболка муж.,AC5787,58,3390
4055343539515,Спортивный костюм муж.,AC5791,42,8390
4055343539454,Спортивный костюм муж.,AC5791,46,8390
4055343535340,Спортивный костюм муж.,AC5791,50,8390
4055343539577,Спортивный костюм муж.,AC5791,54,8390
4055343539461,Спортивный костюм муж.,AC5791,58,8390
4055343595757,Трикотажные брюки муж.,AC5794,42,3990
4055343599946,Трикотажные брюки муж.,AC5794,46,3990
4055343595849,Трикотажные брюки муж.,AC5794,50,3990
4055343595764,Трикотажные брюки муж.,AC5794,54,3990
4055343599977,Трикотажные брюки муж.,AC5794,58,3990
4055344068175,Джемпер муж.,AC5799,42,4390
4055344068182,Джемпер муж.,AC5799,46,4390
4055344064054,Джемпер муж.,AC5799,50,4390
4055344068205,Джемпер муж.,AC5799,54,4390
4055344068137,Джемпер муж.,AC5799,58,4390
4055343821702,Куртка муж.,AC5802,50,10990
4055343825830,Куртка муж.,AC5802,54,10990
4056559086831,Парадный костюм муж.,AC6523,46,8390
4056559082987,Парадный костюм муж.,AC6523,50,8390
4056559082949,Парадный костюм муж.,AC6523,54,8390
4056559086985,Парадный костюм муж.,AC6523,58,8390
4056558834617,Брюки муж.,AC6529,42,3990
4056558833726,Брюки муж.,AC6529,46,3990
4056558834570,Брюки муж.,AC6529,50,3990
4056558833733,Брюки муж.,AC6529,58,3990
4056559006983,Куртка муж.,AC6694,42,5390
4056559011260,Куртка муж.,AC6694,46,5390
4056559011253,Куртка муж.,AC6694,50,5390
4056559011239,Куртка муж.,AC6694,54,5390
4056559007096,Куртка муж.,AC6694,58,5390
4055338996163,#CДжинсы муж.,AE3661,41,3990
